Model,v_SV/sigma_SV,z,R_vir,M_vir,f_b,Class,HD,N_c,M_ctot,eps_III,M_c1,M_c2,q_c,v_circ
,     ,,[pc],[Msun],     ,,     ,,[Msun],     ,[Msun],[Msun],,[km/s]
I01V00,0.0,36.80, 63.1,3.723E+05,0.109,  High, , 1,  3882,0.0958, 3882,     ,     , 5.039
I01V10,1.0,30.91,125.9,1.920E+06,0.106,      ,Y, 1,  9567,0.0469, 9567,     ,     , 8.100
I01V15,1.5,27.45,223.9,7.856E+06,0.114,      ,Y, 2,  5253,0.0059, 5122,  131,0.026,12.287
I01V20,2.0,25.84,316.2,1.794E+07,0.118,      , , 5, 45957,0.0218,29131, 6038,0.207,15.622
I01V25,2.5,25.10,354.8,2.419E+07,0.109,      , , 1, 46198,0.0175,46198,     ,     ,17.127
I01V30,3.0,23.33,562.3,6.468E+07,0.121,      , , 7, 42438,0.0054,33401, 3292,0.099,22.245
I02V00,0.0,34.09,100.0,1.319E+06,0.121,  High, , 1,  8635,0.0542, 8635,     ,     , 7.533
I02V10,1.0,31.53,141.3,2.855E+06,0.108,      , , 1, 19714,0.0638,19714,     ,     , 9.325
I02V15,1.5,30.60,158.5,3.576E+06,0.100,      , , 7, 18935,0.0528,14945, 1765,0.118, 9.852
I02V20,2.0,29.84,177.8,4.163E+06,0.096,      , , 2, 19186,0.0481,16122, 3065,0.190,10.036
I02V25,2.5,21.28,501.2,3.670E+07,0.146,      , , 4, 60304,0.0113,22010,20668,0.939,17.750
I02V30,3.0,19.50,562.3,4.732E+07,0.169,      , , 2, 33990,0.0043,23552,10439,0.443,19.028
I03V00,0.0,31.68, 63.1,2.195E+05,0.111,Middle, , 1,  3158,0.1295, 3158,     ,     , 3.869
I03V10,1.0,20.03,354.8,1.169E+07,0.125,      , , 3, 47059,0.0321,41683, 5276,0.127,11.906
I03V15,1.5,21.37,316.2,9.943E+06,0.127,    E1,Y, 1,  7381,0.0058, 7381,     ,     ,11.631
I03V20,2.0,20.81,354.8,1.229E+07,0.124,      , ,15, 69239,0.0455,44308, 6124,0.138,12.206
I03V25,2.5,20.41,354.8,1.341E+07,0.125,      , , 6, 49196,0.0293,26382,21452,0.813,12.614
I03V30,3.0,20.13,398.1,1.531E+07,0.124,      , , 3, 26778,0.0141,25882,  493,0.019,12.864
I04V00,0.0,30.53,100.0,7.717E+05,0.116,Middle, , 2,  4560,0.0511, 4441,  119,0.027, 5.762
I04V10,1.0,30.22,100.0,7.972E+05,0.114,      , , 1,  2781,0.0306, 2781,     ,     , 5.857
I04V15,1.5,27.45,141.3,1.647E+06,0.128,      ,Y, 8,  5912,0.0280, 3203,  997,0.311, 7.083
I04V20,2.0,24.82,251.2,6.800E+06,0.109,      , , 1,  2243,0.0030, 2243,     ,     ,10.793
I04V25,2.5,23.02,316.2,1.183E+07,0.113,      , , 2, 13813,0.0103, 9544, 4269,0.447,12.687
I04V30,3.0,23.31,281.8,8.841E+06,0.089,    E1, , 1, 21215,0.0270,21215,     ,     ,11.617
I05V00,0.0,29.63, 89.1,6.011E+05,0.123,Middle, , 1,  3081,0.0416, 3081,     ,     , 5.387
I05V10,1.0,26.96,177.8,3.807E+06,0.116,      ,Y, 1,  4500,0.0102, 4500,     ,     , 9.597
I05V15,1.5,25.45,223.9,6.182E+06,0.112,      , , 9, 56412,0.0818,23528,16669,0.708,10.900
I05V20,2.0,24.45,281.8,9.226E+06,0.106,      , , 8, 71629,0.0734,46693,18986,0.407,11.868
I05V25,2.5,23.71,316.2,1.288E+07,0.100,      , , 7, 45237,0.0351,33732, 5872,0.174,13.236
I05V30,3.0,23.05,354.8,1.571E+07,0.100,      , , 3, 17258,0.0110, 6948, 6002,0.864,13.804
I06V00,0.0,29.03, 89.1,4.698E+05,0.119,Middle, , 1,  2404,0.0429, 2404,     ,     , 4.762
I06V10,1.0,25.01,125.9,1.079E+06,0.119,      ,Y, 1,  3981,0.0309, 3981,     ,     , 6.072
I06V15,1.5,23.97,199.5,3.465E+06,0.111,      ,Y, 2,  8391,0.0219, 6766, 1624,0.240, 8.645
I06V20,2.0,21.73,316.2,9.533E+06,0.122,      , , 3, 15988,0.0137,11579, 3003,0.259,11.389
I06V25,2.5,20.62,354.8,1.222E+07,0.116,      , , 3,  9198,0.0065, 7232, 1568,0.217,12.174
I06V30,3.0,19.63,631.0,6.869E+07,0.117,      , ,11, 84097,0.0105,44502,10855,0.244,21.642
I07V00,0.0,28.64,112.2,1.106E+06,0.129,Middle,Y, 2,  3000,0.0210, 2050,  949,0.463, 6.512
I07V10,1.0,26.79,158.5,2.514E+06,0.117,      , , 2, 11161,0.0380, 6444, 4717,0.732, 8.262
I07V15,1.5,21.61,398.1,2.030E+07,0.110,      , , 6, 45839,0.0206,18220,17657,0.969,14.810
I07V20,2.0,23.21,354.8,1.731E+07,0.114,    E1, , 7, 57912,0.0294,31496, 9606,0.305,14.490
I07V25,2.5,22.55,354.8,1.822E+07,0.109,      , ,20, 63743,0.0320,32817,12111,0.369,14.863
I07V30,3.0,22.57,354.8,1.705E+07,0.109,    E1,Y, 1,  7494,0.0040, 7494,     ,     ,14.380
I08V00,0.0,28.42,158.5,2.637E+06,0.130,  High, , 1, 30352,0.0887,30352,     ,     , 8.461
I08V10,1.0,27.91,158.5,2.786E+06,0.132,      , , 1, 14592,0.0397,14592,     ,     , 8.696
I08V15,1.5,25.85,251.2,8.700E+06,0.128,      , , 5, 57294,0.0515,52925, 1516,0.029,12.207
I08V20,2.0,25.01,316.2,1.543E+07,0.115,      , ,23, 83535,0.0469,26394,15624,0.592,14.490
I08V25,2.5,24.31,354.8,1.980E+07,0.106,      , , 1, 32946,0.0157,32946,     ,     ,15.493
I08V30,3.0,23.55,398.1,2.587E+07,0.097,      , , 3, 12589,0.0050, 6296, 5708,0.907,16.720
I09V00,0.0,28.03,158.5,2.503E+06,0.133,  High, , 1, 24920,0.0750,24920,     ,     , 8.243
I09V10,1.0,29.63,112.2,1.061E+06,0.118,    E1, , 1,  5025,0.0402, 5025,     ,     , 6.379
I09V15,1.5,26.45,199.5,4.638E+06,0.121,      , , 5, 13707,0.0245, 6391, 5219,0.817,10.001
I09V20,2.0,25.16,251.2,7.538E+06,0.118,      , , 5, 34013,0.0381,21769, 5673,0.261,11.363
I09V25,2.5,24.21,281.8,1.002E+07,0.118,      , , 2,  4491,0.0038, 2854, 1637,0.574,12.367
I09V30,3.0,23.48,316.2,1.304E+07,0.128,      , , 1, 31843,0.0191,31843,     ,     ,13.322
I10V00,0.0,27.61,112.2,9.544E+05,0.143,Middle,Y, 4,  3309,0.0242, 2824,  269,0.095, 6.050
I10V10,1.0,25.38,177.8,2.608E+06,0.138,      , , 1,  9258,0.0258, 9258,     ,     , 7.943
I10V15,1.5,24.20,199.5,3.801E+06,0.130,      , , 1,  4787,0.0097, 4787,     ,     , 9.053
I10V20,2.0,23.04,251.2,6.784E+06,0.132,      ,Y, 2, 12005,0.0134,11571,  434,0.037,10.779
I10V25,2.5,21.37,398.1,2.009E+07,0.148,      , , 9, 42078,0.0141,16271,13344,0.820,14.736
I10V30,3.0,20.79,446.7,2.721E+07,0.134,      , ,14, 92182,0.0252,59830, 6930,0.116,16.188
I11V00,0.0,27.60,158.5,2.675E+06,0.127,  High, , 1,  7619,0.0223, 7619,     ,     , 8.522
I11V10,1.0,25.42,223.9,5.918E+06,0.140,      , , 2, 11876,0.0143, 7787, 4089,0.525,10.665
I11V15,1.5,24.51,281.8,1.113E+07,0.105,      , , 4, 40245,0.0346,23696,12177,0.514,13.037
I11V20,2.0,23.75,316.2,1.343E+07,0.116,      , , 3, 11358,0.0073, 7660, 2459,0.321,13.516
I11V25,2.5,21.09,501.2,4.029E+07,0.115,      , ,20, 99898,0.0216,19532, 9357,0.479,18.597
I11V30,3.0,20.85,501.2,4.055E+07,0.108,      , ,25, 71040,0.0162,21052,16954,0.805,18.658
I12V00,0.0,26.61,100.0,6.222E+05,0.142,   Low,Y, 4,  4474,0.0506, 3249,  769,0.237, 5.174
I12V10,1.0,22.58,177.8,2.168E+06,0.132,      ,Y, 1,  1172,0.0041, 1172,     ,     , 7.246
I12V15,1.5,20.31,281.8,6.683E+06,0.129,      , , 1,  5466,0.0064, 5466,     ,     ,10.100
I12V20,2.0,19.09,354.8,1.027E+07,0.117,      , , 5,102428,0.0856,57251,40004,0.699,11.162
I12V25,2.5,18.67,354.8,1.052E+07,0.105,      , , 3, 22486,0.0203,20588, 1491,0.072,11.296
I12V30,3.0,18.13,398.1,1.242E+07,0.101,      , , 4, 15564,0.0125, 8525, 3612,0.424,11.587
I13V00,0.0,26.43,112.2,7.845E+05,0.141,   Low, , 1,  8464,0.0765, 8464,     ,     , 5.485
I13V10,1.0,23.46,177.8,2.268E+06,0.144,      , , 3, 19317,0.0590,10009, 5865,0.586, 7.407
I13V15,1.5,21.70,251.2,4.545E+06,0.118,      , , 2, 18468,0.0345,11888, 6579,0.553, 8.823
I13V20,2.0,19.55,316.2,7.821E+06,0.112,      , , 1,  8363,0.0095, 8363,     ,     ,10.315
I13V25,2.5,17.93,398.1,1.259E+07,0.119,      , , 2, 18841,0.0125,16733, 2151,0.129,11.664
I13V30,3.0,17.23,446.7,1.652E+07,0.114,      , , 1, 13916,0.0074,13916,     ,     ,12.613
I14V00,0.0,25.42,141.3,1.471E+06,0.148,Middle, , 2,  9274,0.0427, 6777, 2497,0.368, 6.694
I14V10,1.0,22.70,223.9,4.561E+06,0.138,      , , 5, 55739,0.0886,23849,18663,0.783, 9.363
I14V15,1.5,22.21,251.2,5.590E+06,0.127,      , , 4, 25121,0.0354,24568,  175,0.007, 9.785
I14V20,2.0,21.27,281.8,7.451E+06,0.120,      , , 1, 22094,0.0248,22094,     ,     ,10.665
I14V25,2.5,20.05,354.8,1.134E+07,0.120,      , , 1,  7717,0.0057, 7717,     ,     ,11.728
I14V30,3.0,19.79,398.1,1.468E+07,0.124,      , , 2, 21315,0.0117,13043, 8271,0.634,12.595
I15V00,0.0,24.71,125.9,1.016E+06,0.135,Middle, , 2,  9822,0.0717, 8069, 1753,0.217, 5.892
I15V10,1.0,24.67,199.5,3.372E+06,0.121,      , , 2, 12668,0.0311, 8947, 3721,0.416, 8.527
I15V15,1.5,19.74,446.7,2.000E+07,0.131,      , , 3, 31820,0.0121,19821, 7676,0.387,13.878
I15V20,2.0,20.58,398.1,1.615E+07,0.130,    E1, , 1, 10809,0.0052,10809,     ,     ,13.212
I15V25,2.5,20.22,446.7,2.315E+07,0.123,      , , 1, 19353,0.0068,19353,     ,     ,14.934
I15V30,3.0,20.39,501.2,3.070E+07,0.115,    E1, , 5, 58686,0.0166,40081, 6353,0.158,16.234
I16V00,0.0,23.82,112.2,6.588E+05,0.143,   Low, , 1,  5635,0.0599, 5635,     ,     , 5.026
I16V10,1.0,21.55,177.8,1.797E+06,0.139,      , , 2, 19840,0.0795,19392,  448,0.023, 6.595
I16V15,1.5,18.98,316.2,7.158E+06,0.129,      , , 1, 29981,0.0324,29981,     ,     , 9.868
I16V20,2.0,17.43,501.2,2.024E+07,0.143,      , , 4, 24095,0.0083,15335, 7307,0.477,13.180
I16V25,2.5,16.96,562.3,2.577E+07,0.131,      , , 3, 30955,0.0091,25432, 5394,0.212,14.042
I16V30,3.0,16.73,562.3,2.520E+07,0.123,    E3, , 1, 28997,0.0093,28997,     ,     ,13.886
I17V00,0.0,22.79,100.0,3.841E+05,0.138,   Low, , 1,  5141,0.0972, 5141,     ,     , 4.065
I17V10,1.0,18.06,316.2,5.876E+06,0.144,      , , 1,  7044,0.0083, 7044,     ,     , 8.942
I17V15,1.5,17.50,316.2,6.021E+06,0.132,      , , 1,  4376,0.0055, 4376,     ,     , 9.051
I17V20,2.0,17.72,281.8,4.470E+06,0.143,    E1, , 1,  4303,0.0067, 4303,     ,     , 8.261
I17V25,2.5,17.25,316.2,5.552E+06,0.130,      , , 3, 21318,0.0296,20138, 1108,0.055, 8.692
I17V30,3.0,16.96,316.2,5.597E+06,0.137,      , , 3, 13186,0.0173,12930,  177,0.014, 8.727
I18V00,0.0,22.02,223.9,3.695E+06,0.150,   Low, , 1,  4390,0.0079, 4390,     ,     , 8.427
I18V10,1.0,22.30,199.5,2.768E+06,0.148,    E1,Y, 1,  6007,0.0146, 6007,     ,     , 7.726
I18V15,1.5,21.27,223.9,3.585E+06,0.143,      ,Y, 1,  5512,0.0107, 5512,     ,     , 8.300
I18V20,2.0,19.33,354.8,1.058E+07,0.139,      ,Y,11, 11138,0.0076, 6821, 1151,0.169,11.324
I18V25,2.5,18.23,446.7,1.702E+07,0.135,      , , 3, 32918,0.0143,29685, 3111,0.105,12.804
I18V30,3.0,18.02,446.7,1.768E+07,0.130,      , , 3,  7632,0.0033, 3468, 2118,0.611,13.049
I19V00,0.0,21.08,177.8,1.602E+06,0.147,   Low,Y, 1,  8488,0.0361, 8488,     ,     , 6.226
I19V10,1.0,20.98,177.8,1.563E+06,0.146,    E3,Y, 1,  2814,0.0124, 2814,     ,     , 6.150
I19V15,1.5,19.19,223.9,2.700E+06,0.159,      , , 1,  4675,0.0109, 4675,     ,     , 7.204
I19V20,2.0,17.33,398.1,9.673E+06,0.146,      , , 3,  4608,0.0033, 2599, 1066,0.410,10.224
I19V25,2.5,17.01,398.1,1.038E+07,0.137,      , , 1,  6739,0.0047, 6739,     ,     ,10.591
I19V30,3.0,16.00,446.7,1.360E+07,0.137,      , , 2,  2936,0.0016, 1914, 1022,0.534,11.445
I20V00,0.0,16.52,398.1,8.400E+06,0.151,   Low, , 2, 20101,0.0158,11922, 8179,0.686, 9.528
I20V10,1.0,17.74,251.2,3.178E+06,0.128,    E1,Y, 1,  4394,0.0108, 4394,     ,     , 7.378
I20V15,1.5,16.86,316.2,4.375E+06,0.160,      , , 1, 16003,0.0228,16003,     ,     ,7.715
I20V20,2.0,15.61,354.8,5.969E+06,0.151,      , , 2, 25799,0.0286,24654, 1146,0.046, 8.508
I20V25,2.5,15.79,354.8,6.027E+06,0.128,    E2, , 1,  5324,0.0069, 5324,     ,     , 8.549
I20V30,3.0,16.49,316.2,4.599E+06,0.134,    E1, , 1,  3205,0.0052, 3205,     ,     , 7.910